centroidx,centroidy,height,angle,module,mag_field
908,404,25,-1.4513674007765582,25.179356624028344,2.477
657,329,28,1.4994888620096063,28.071337695236398,2.51
656,333,26,0,26.0,2.501
656,333,26,1.4940244355251187,26.076809620810597,2.493
879,421,22,0.6837093116343712,34.828149534535996,2.489
982,422,28,-1.35970299357215,28.635642126552707,2.485
959,392,20,1.2793395323170296,20.8806130178211,2.483
656,333,25,1.4121410646084953,25.317977802344327,2.481
973,369,34,-0.9964914966201949,40.496913462633174,2.479
912,402,59,1.402900403544522,59.841457201508724,2.478
978,375,45,-1.33105321792444,46.32493928760188,2.477
957,414,30,1.1902899496825317,32.31098884280702,2.51
656,333,27,1.4968572891369563,27.073972741361768,2.501
654,334,27,1.460139105621001,27.16615541441225,2.493
655,334,27,1.423717971406494,27.294688127912362,2.489
656,333,26,1.5323537367737086,26.019223662515376,2.485
656,333,26,1.4940244355251187,26.076809620810597,2.483
656,333,26,1.4940244355251187,26.076809620810597,2.481
656,333,26,1.4559197213779975,26.1725046566048,2.479
656,333,27,1.423717971406494,27.294688127912362,2.478
932,403,43,1.2772073393861467,44.9221548904324,2.477
659,330,26,1.380808038876181,26.476404589747453,2.51
902,419,30,-1.2793395323170296,31.32091952673165,2.501
655,334,27,1.423717971406494,27.294688127912362,2.493
657,333,26,1.4559197213779975,26.1725046566048,2.489
657,333,26,1.4940244355251187,26.076809620810597,2.485
917,416,30,-1.3415643935179014,30.805843601498726,2.483
959,363,21,0.8621700546672264,27.65863337187866,2.481
657,333,26,1.4559197213779975,26.1725046566048,2.479
938,416,32,1.1324597669369387,35.34119409414458,2.478
656,333,26,1.4181469983996315,26.30589287593181,2.477
662,327,26,1.4559197213779975,26.1725046566048,2.51
657,334,27,1.5337762109209665,27.018512172212592,2.501
903,419,43,-1.5011417530663285,43.104524124504614,2.493
952,421,36,1.299849476456476,37.36308338453881,2.489
657,333,25,1.2610933822524404,26.248809496813376,2.485
657,333,26,1.5323537367737086,26.019223662515376,2.483
655,334,28,-1.464060654145761,28.160255680657446,2.481
944,417,36,0.982793723247329,43.266615305567875,2.479
957,424,24,1.3258176636680326,24.73863375370596,2.478
657,333,26,1.4940244355251187,26.076809620810597,2.477
483,327,163,1.5156376108667178,163.24827717314508,2.51
657,333,27,1.460139105621001,27.16615541441225,2.501
657,333,26,1.4559197213779975,26.1725046566048,2.493
655,334,27,1.3876855095324125,27.459060435491963,2.489
657,333,26,1.4181469983996315,26.30589287593181,2.485
657,333,26,-1.5323537367737086,26.019223662515376,2.483
657,333,26,1.4559197213779975,26.1725046566048,2.481
657,333,26,1.4181469983996315,26.30589287593181,2.479
960,410,47,1.049361887023153,54.20332093147061,2.478
937,360,39,-0.714090698612158,59.54829972383762,2.477
